datetime,temperature,humidity,wind_speed,pressure
01.01.2009 00:10:00,-8.02,93.3,1.03,996.52
01.01.2009 00:20:00,-8.41,93.4,0.72,996.57
01.01.2009 00:30:00,-8.51,93.9,0.19,996.53
01.01.2009 00:40:00,-8.31,94.2,0.34,996.51
01.01.2009 00:50:00,-8.27,94.1,0.32,996.51
01.01.2009 01:00:00,-8.05,94.4,0.21,996.5
01.01.2009 01:10:00,-7.62,94.8,0.18,996.5
01.01.2009 01:20:00,-7.62,94.4,0.19,996.5
01.01.2009 01:30:00,-7.91,93.8,0.28,996.5
01.01.2009 01:40:00,-8.43,93.1,0.59,996.53
01.01.2009 01:50:00,-8.76,93.1,0.45,996.62
01.01.2009 02:00:00,-8.88,93.2,0.25,996.62
01.01.2009 02:10:00,-8.85,93.5,0.16,996.63
01.01.2009 02:20:00,-8.83,93.5,0.36,996.74
01.01.2009 02:30:00,-8.66,93.9,0.33,996.81
01.01.2009 02:40:00,-8.66,93.6,0.07,996.81
01.01.2009 02:50:00,-8.7,93.5,0.32,996.86
01.01.2009 03:00:00,-8.81,93.5,0.18,996.84
01.01.2009 03:10:00,-8.84,93.5,0.07,996.87
01.01.2009 03:20:00,-8.94,93.3,0.1,996.97
01.01.2009 03:30:00,-8.94,93.4,0.3,997.08
01.01.2009 03:40:00,-8.86,93.1,0.29,997.1
01.01.2009 03:50:00,-8.99,92.4,0.12,997.06
01.01.2009 04:00:00,-9.05,92.6,0.1,996.99
01.01.2009 04:10:00,-9.23,92.2,0.1,997.05
01.01.2009 04:20:00,-9.49,92.0,0.34,997.11
01.01.2009 04:30:00,-9.5,92.3,0.43,997.19
01.01.2009 04:40:00,-9.35,92.8,0.4,997.24
01.01.2009 04:50:00,-9.47,92.4,0.37,997.37
01.01.2009 05:00:00,-9.63,92.2,0.4,997.46
01.01.2009 05:10:00,-9.67,92.6,0.36,997.43
01.01.2009 05:20:00,-9.68,92.0,0.09,997.42
01.01.2009 05:30:00,-9.9,91.7,0.29,997.53
01.01.2009 05:40:00,-9.91,92.4,0.5,997.6
01.01.2009 05:50:00,-9.51,93.4,0.31,997.62
01.01.2009 06:00:00,-9.67,92.7,0.05,997.71
01.01.2009 06:10:00,-9.59,93.2,0.24,997.81
01.01.2009 06:20:00,-9.15,93.3,0.18,997.86
01.01.2009 06:30:00,-8.91,92.5,0.45,998.0
01.01.2009 06:40:00,-9.04,91.9,1.48,998.14
01.01.2009 06:50:00,-9.43,91.3,2.51,998.21
01.01.2009 07:00:00,-9.17,92.9,2.08,998.33
01.01.2009 07:10:00,-8.71,93.0,2.06,998.5
01.01.2009 07:20:00,-8.55,93.0,1.95,998.59
01.01.2009 07:30:00,-8.4,93.1,0.92,998.79
01.01.2009 07:40:00,-8.3,93.1,0.81,998.86
01.01.2009 07:50:00,-8.13,93.2,0.61,999.04
01.01.2009 08:00:00,-8.1,92.8,0.72,999.17
01.01.2009 08:10:00,-8.14,92.6,0.71,999.27
01.01.2009 08:20:00,-8.06,92.7,0.53,999.33
01.01.2009 08:30:00,-7.95,92.6,0.53,999.44
01.01.2009 08:40:00,-7.74,93.0,0.38,999.46
01.01.2009 08:50:00,-7.57,92.0,0.17,999.59
01.01.2009 09:00:00,-7.66,91.2,0.34,999.69
01.01.2009 09:10:00,-7.71,91.3,0.14,999.79
01.01.2009 09:20:00,-7.56,91.7,0.11,999.81
01.01.2009 09:30:00,-7.29,92.2,0.75,999.83
01.01.2009 09:40:00,-7.15,92.1,1.62,999.96
01.01.2009 09:50:00,-7.02,92.2,1.24,1000.13
01.01.2009 10:00:00,-7.04,91.6,1.45,1000.27
01.01.2009 10:10:00,-7.03,91.6,1.12,1000.43
01.01.2009 10:20:00,-7.15,91.1,2.12,1000.54
01.01.2009 10:30:00,-7.26,91.0,1.54,1000.68
01.01.2009 10:40:00,-7.34,90.8,1.81,1000.78
01.01.2009 10:50:00,-7.35,90.9,1.77,1000.83
01.01.2009 11:00:00,-7.41,90.7,1.91,1000.87
